event_id,particle_index,pdg,charge,pt,eta,phi,mass,energy,is_final
17,48,22,0,0.0957154,0.984262,-1.37026,0,0.145944,1
18,10,2212,1,0.163954,-4.43265,-1.08866,0.93827,6.96315,1
18,11,211,1,0.444313,1.97186,2.24812,0.13957,1.63288,1
18,12,2112,0,0.237209,4.2507,1.61762,0.93957,8.37518,1
18,13,22,0,0.464784,-2.53706,-1.15311,0,2.95639,1
18,14,22,0,0.0282216,-1.59477,-0.482261,0,0.0723902,1
19,17,-211,-1,0.506316,0.535785,-1.35336,0.13957,0.597281,1
19,18,211,1,0.570978,-1.52628,-3.00919,0.13957,1.38266,1
19,19,2112,0,0.871189,-2.72824,-2.71359,0.93957,6.76122,1
19,27,-211,-1,0.73328,0.4976,1.37269,0.13957,0.83766,1
19,30,211,1,0.654417,0.250855,0.601757,0.13957,0.689392,1
19,32,211,1,0.334775,0.699071,0.396151,0.13957,0.442548,1
19,33,-211,-1,0.471618,-0.0234839,2.91841,0.13957,0.491961,1
19,34,2212,1,0.332928,3.09001,-2.93202,0.93827,3.78418,1
19,35,211,1,0.200693,2.06055,1.33067,0.13957,0.812609,1
19,39,22,0,0.0777067,-0.684208,-2.66589,0,0.0966163,1
19,40,22,0,0.300337,0.0448391,3.13817,0,0.300639,1
19,41,22,0,0.0536044,3.13243,-1.87742,0,0.615736,1
19,42,22,0,0.134497,2.14906,-0.569844,0,0.584618,1
19,43,22,0,0.334852,1.48913,-0.614548,0,0.780005,1
19,44,22,0,0.1064,2.11343,-0.283169,0,0.446739,1
19,45,22,0,0.186678,0.752131,0.467668,0,0.242017,1
19,46,22,0,0.360153,0.487491,0.016012,0,0.403802,1
19,47,22,0,0.049672,-0.966007,0.306458,0,0.0747075,1
19,48,22,0,0.183491,-0.757614,-1.24204,0,0.238719,1
19,49,22,0,0.172932,-0.0604915,0.319132,0,0.173248,1
19,50,22,0,0.0863187,0.278106,-0.787593,0,0.0896783,1
19,51,22,0,0.107834,-0.330018,-1.12312,0,0.11376,1
19,52,22,0,0.0391998,0.226016,1.93472,0,0.0402053,1
20,23,211,1,0.388778,-1.81301,2.73973,0.13957,1.23104,1
20,26,2112,0,0.626112,-2.91719,-1.619,0.93957,5.88067,1
20,27,2212,1,0.38621,3.37851,0.175297,0.93827,5.74693,1
20,28,-211,-1,0.166139,3.42726,1.13564,0.13957,2.56437,1
20,29,321,1,0.251152,1.05421,-1.84957,0.49368,0.637996,1
20,31,-321,-1,0.255887,-1.17728,-0.777699,0.49368,0.67115,1
20,32,211,1,0.307542,-1.1585,1.65658,0.13957,0.555867,1
20,36,22,0,0.251496,1.87908,-2.90263,0,0.842537,1
20,37,22,0,0.0198942,1.95985,-0.374793,0,0.0720083,1
20,38,22,0,0.154762,-1.83531,-0.0319229,0,0.4973,1
20,39,22,0,0.050643,-1.72249,1.69546,0,0.146284,1
20,40,22,0,0.110469,-1.87562,2.36946,0,0.368863,1
20,41,22,0,0.0495139,-0.724554,0.872175,0,0.0630894,1
20,42,22,0,0.219339,-1.30706,1.85007,0,0.434938,1
20,43,22,0,0.0747991,-2.02028,1.06883,0,0.286969,1
21,4,2212,1,0.442658,-3.79786,-1.33692,0.93827,9.92196,1
21,7,211,1,0.496772,1.20676,1.32787,0.13957,0.915277,1
21,8,2112,0,0.227992,4.3813,-2.91338,0.93957,9.16277,1
22,17,2212,1,0.856447,-2.78082,-0.975038,0.93827,6.99791,1
22,21,-211,-1,0.417522,0.388653,-2.2789,0.13957,0.470627,1
22,28,211,1,0.586898,2.15096,0.11279,0.13957,2.5596,1
22,30,211,1,0.185839,0.247926,-2.82739,0.13957,0.237029,1
22,31,-211,-1,0.351087,-1.70535,0.479573,0.13957,1.00768,1
22,32,211,1,0.135422,-0.394237,1.1038,0.13957,0.202039,1
22,34,2112,0,0.421258,1.94829,-0.310809,0.93957,1.7767,1
22,35,-211,-1,0.112572,0.938364,-3.08239,0.13957,0.216785,1
22,36,211,1,0.0733936,1.14198,-1.83511,0.13957,0.188489,1
22,38,22,0,0.0591802,-1.55371,-2.29141,0,0.146188,1
22,39,22,0,0.197352,-2.14399,2.83177,0,0.853608,1
22,40,22,0,0.188511,0.380364,2.21498,0,0.202313,1
22,41,22,0,0.563734,0.206498,2.59292,0,0.575796,1
22,42,22,0,0.386429,1.3277,2.2432,0,0.780092,1
22,43,22,0,0.296955,1.29049,2.64258,0,0.580503,1
22,44,22,0,0.26639,1.32008,-0.716284,0,0.534221,1
22,45,22,0,0.0835586,1.87371,-1.44211,0,0.2785,1
22,46,22,0,0.307077,2.46903,2.06333,0,1.82644,1
22,47,22,0,0.0232087,3.88588,1.62404,0,0.565483,1
23,3,2212,1,0.392882,3.78492,-1.87513,0.93827,8.70488,1
23,11,211,1,0.0631969,1.70935,2.44709,0.13957,0.228018,1
23,12,-211,-1,0.439539,-1.70635,-0.042765,0.13957,1.25833,1
23,13,211,1,0.0405889,-4.42287,-1.952,0.13957,1.69724,1
23,17,2212,1,0.234692,-3.06229,2.63078,0.93827,2.68332,1
23,18,211,1,0.249063,-1.82251,-1.85005,0.13957,0.802874,1
23,19,-211,-1,0.331008,-1.21224,-2.61154,0.13957,0.621381,1
23,22,22,0,0.0605623,0.75506,-0.280787,0,0.0786621,1
23,23,-2212,-1,0.572626,-1.54046,1.45143,0.93827,1.68325,1
23,25,22,0,0.168574,-1.79883,-1.6929,0,0.523257,1
23,26,22,0,0.0832787,-1.05392,-2.56711,0,0.133972,1
23,27,2212,1,0.414613,-0.36202,0.803557,0.93827,1.0372,1
23,28,-211,-1,0.144041,0.457309,1.06259,0.13957,0.211843,1
23,29,22,0,0.0926662,-0.582077,-2.49513,0,0.108813,1
23,30,22,0,0.0310185,-2.67863,-2.21553,0,0.22696,1
24,68,-211,-1,0.212996,-1.59347,-2.14294,0.13957,0.563262,1
24,70,-211,-1,0.905741,0.977319,-1.93313,0.13957,1.38092,1
24,71,2212,1,0.828074,2.30944,3.114,0.93827,4.31328,1
24,72,2212,1,0.306065,2.1111,-1.83808,0.93827,1.5888,1
24,73,211,1,0.726541,0.385348,0.720725,0.13957,0.793526,1
24,74,211,1,0.215947,-1.79177,0.672167,0.13957,0.680315,1
24,75,-211,-1,0.280548,0.0176866,-2.55728,0.13957,0.313387,1
24,76,211,1,0.421987,0.467956,0.97401,0.13957,0.489365,1
24,78,22,0,1.04374,-0.221049,0.811961,0,1.06935,1
24,79,22,0,1.25981,-0.684831,0.715588,0,1.56696,1
24,80,22,0,0.0578274,-0.546507,1.93096,0,0.0666802,1
24,81,22,0,0.0342174,-2.53188,-1.67438,0,0.216538,1
24,82,211,1,0.252433,-1.40546,3.02472,0.13957,0.563159,1
24,83,-211,-1,0.189576,-0.337481,0.44664,0.13957,0.244275,1
24,85,22,0,0.460196,-1.87763,-2.55613,0,1.53957,1
24,86,22,0,0.450557,-2.43423,-1.43556,0,2.5895,1
24,87,22,0,0.609976,-0.207369,-1.7797,0,0.623139,1
24,88,22,0,0.0599936,0.0209508,-2.46023,0,0.0600068,1
24,89,22,0,0.102731,0.600392,2.81078,0,0.12181,1
24,90,22,0,0.468124,1.12214,3.12899,0,0.795109,1
24,91,22,0,0.11249,-0.915604,0.297831,0,0.16303,1
24,92,22,0,0.0407754,-2.53184,1.18669,0,0.258029,1
25,33,211,1,1.1669,-0.0817611,1.6946,0.13957,1.17909,1
25,34,-211,-1,0.768756,-0.402043,-0.124108,0.13957,0.843357,1
25,39,2112,0,0.239943,-2.12151,2.65727,0.93957,1.38341,1
25,47,-211,-1,0.833939,-0.0473514,-1.52483,0.13957,0.84646,1
25,48,321,1,0.666016,-0.311896,0.934983,0.49368,0.855491,1
25,54,-211,-1,0.456142,-0.255956,-1.7757,0.13957,0.491403,1
25,55,2212,1,0.40048,3.0481,-0.726622,0.93827,4.33242,1
25,57,211,1,0.391983,0.868577,0.266878,0.13957,0.566829,1
25,58,130,0,0.638702,-0.504251,2.43263,0.49761,0.876571,1
25,60,211,1,0.239952,0.278543,0.143567,0.13957,0.285728,1
25,62,130,0,0.116958,2.90485,-1.40921,0.49761,1.18112,1
25,66,22,0,0.196396,-1.64299,-0.726029,0,0.526736,1
25,67,22,0,0.153008,-2.31917,-1.09055,0,0.785357,1
25,68,22,0,0.631848,0.528634,2.74298,0,0.72221,1
25,69,22,0,0.208893,-0.279974,-2.17909,0,0.217134,1
25,70,22,0,0.347846,-1.79115,-0.605486,0,1.07191,1
25,71,22,0,0.304343,-1.48646,1.34517,0,0.707227,1
25,72,211,1,0.22415,-0.0917539,-2.07864,0.13957,0.264853,1
25,73,-211,-1,0.821887,0.605394,-2.50167,0.13957,0.987073,1
25,74,22,0,0.323314,-0.706641,-2.67482,0,0.407452,1
25,75,22,0,0.0289791,0.572472,-2.40407,0,0.0338588,1
25,76,22,0,0.126976,-2.29423,1.73506,0,0.636,1
25,77,22,0,0.0717061,-1.54351,0.463452,0,0.175487,1
25,78,22,0,0.122679,-0.632014,2.84231,0,0.148007,1
25,79,22,0,0.049775,-1.36805,1.06144,0,0.104087,1
25,80,22,0,0.0364533,-1.21845,-3.09566,0,0.0670308,1
25,81,22,0,0.145332,-1.3673,0.829447,0,0.303709,1
26,22,2112,0,0.657188,1.2562,2.94034,0.93957,1.56182,1
26,26,-321,-1,0.589827,-2.38271,2.56379,0.49368,3.25998,1
26,28,2212,1,0.183962,-1.07113,-0.284077,0.93827,0.985057,1
26,30,-321,-1,0.285478,-0.306988,1.50491,0.49368,0.577185,1
26,31,211,1,0.234294,1.43497,1.31986,0.13957,0.538264,1
26,33,2212,1,0.233279,-3.1757,-1.29625,0.93827,2.95078,1
26,34,211,1,0.16641,-2.34124,0.184259,0.13957,0.883938,1
26,35,22,0,0.264994,2.27346,0.507846,0,1.30057,1
26,36,22,0,0.345451,2.11407,0.0881553,0,1.45134,1
26,37,211,1,0.319822,2.05337,0.00708348,0.13957,1.27455,1
